ts,symbol,rate
2026-07-23T11:42+00:00,S/USDT:USDT,2.162e-05
2026-07-23T11:42+00:00,XPIN/USDT:USDT,8.187e-05
2026-07-23T11:42+00:00,VOXEL/USDT:USDT,0.0
2026-07-23T11:42+00:00,SPACE/USDT:USDT,5e-05
2026-07-23T11:42+00:00,IO/USDT:USDT,5e-05
2026-07-23T11:42+00:00,NEAR/USDT:USDT,-6.767e-05
2026-07-23T11:42+00:00,YFI/USDT:USDT,-4.654e-05
2026-07-23T11:42+00:00,ACH/USDT:USDT,0.0001
2026-07-23T11:42+00:00,LDO/USDT:USDT,0.0001
2026-07-23T11:42+00:00,ETHW/USDT:USDT,5e-05
2026-07-23T11:42+00:00,BIGTIME/USDT:USDT,5e-05
2026-07-23T11:42+00:00,ARB/USDC:USDC,1.086e-05
2026-07-23T11:42+00:00,ORBS/USDT:USDT,0.0
2026-07-23T11:42+00:00,BABA/USDT:USDT,0.0
2026-07-23T11:42+00:00,VIRTUAL/USDT:USDT,-0.00014663
2026-07-23T11:42+00:00,JASMY/USDT:USDT,-2.078e-05
2026-07-23T11:42+00:00,LITE/USDT:USDT,5.102e-05
2026-07-23T11:42+00:00,XRP/USDC:USDC,8.602e-05
2026-07-23T11:42+00:00,BROCCOLI714/USDT:USDT,5e-05
2026-07-23T11:42+00:00,NFLX/USDT:USDT,0.0
2026-07-23T11:42+00:00,JPM/USDT:USDT,0.0
2026-07-23T11:42+00:00,SONIC/USDT:USDT,5e-05
2026-07-23T11:42+00:00,LLY/USDT:USDT,0.0
2026-07-23T11:42+00:00,SPORTFUN/USDT:USDT,0.00091154
2026-07-23T11:42+00:00,BTC/USDT:USDT-261225,0.0
2026-07-23T11:42+00:00,LIGHT/USDT:USDT,0.00010777
2026-07-23T11:42+00:00,XEM/USDT:USDT,0.0
2026-07-23T11:42+00:00,JCT/USDT:USDT,5e-05
2026-07-23T11:42+00:00,API3/USDT:USDT,5e-05
2026-07-23T11:42+00:00,GRASS/USDT:USDT,5e-05
2026-07-23T11:42+00:00,CATI/USDT:USDT,5e-05
2026-07-23T11:42+00:00,ERA/USDT:USDT,-0.00110884
2026-07-23T11:42+00:00,NFP/USDT:USDT,0.0
2026-07-23T11:42+00:00,TER/USDT:USDT,0.0
2026-07-23T11:42+00:00,WDC/USDT:USDT,-0.00024441
2026-07-23T11:42+00:00,FIGHT/USDT:USDT,5.131e-05
2026-07-23T11:42+00:00,RE/USDT:USDT,3.594e-05
2026-07-23T11:42+00:00,ALLO/USDT:USDT,5e-05
2026-07-23T11:42+00:00,JELLYJELLY/USDT:USDT,5e-05
2026-07-23T11:42+00:00,FTM/USDT:USDT,0.0
2026-07-23T11:42+00:00,VANRY/USDT:USDT,-0.00183825
2026-07-23T11:42+00:00,DEEP/USDT:USDT,-0.00013041
2026-07-23T11:42+00:00,HYUNDAI/USDT:USDT,0.0
2026-07-23T11:42+00:00,STO/USDT:USDT,5e-05
2026-07-23T11:42+00:00,DASH/USDT:USDT,-6.452e-05
2026-07-23T11:42+00:00,BCH/USDC:USDC,-3.893e-05
2026-07-23T11:42+00:00,FUN/USDT:USDT,0.0
2026-07-23T11:42+00:00,SUPER/USDT:USDT,5e-05
2026-07-23T11:42+00:00,A/USDT:USDT,5e-05
2026-07-23T11:42+00:00,QUICK/USDT:USDT,0.0
2026-07-23T11:42+00:00,ORDI/USDT:USDT,5e-05
2026-07-23T11:42+00:00,SNOW/USDT:USDT,0.0
2026-07-23T11:42+00:00,1000PEPE/USDC:USDC,0.0001
2026-07-23T11:42+00:00,IOTX/USDT:USDT,0.0001
2026-07-23T11:42+00:00,TURBO/USDT:USDT,5e-05
2026-07-23T11:42+00:00,STABLE/USDT:USDT,2.4e-05
2026-07-23T11:42+00:00,FLEX/USDT:USDT,0.0
2026-07-23T11:42+00:00,TRUTH/USDT:USDT,0.00035373
2026-07-23T11:42+00:00,AMD/USDT:USDT,0.0
2026-07-23T11:42+00:00,BANK/USDT:USDT,5e-05
2026-07-23T11:42+00:00,ZKP/USDT:USDT,5e-05
2026-07-23T11:42+00:00,VVV/USDT:USDT,5e-05
2026-07-23T11:42+00:00,TWT/USDT:USDT,5e-05
2026-07-23T11:42+00:00,O/USDT:USDT,-0.0074257
2026-07-23T11:42+00:00,XPL/USDT:USDT,-1.223e-05
2026-07-23T11:42+00:00,SMCI/USDT:USDT,0.0
2026-07-23T11:42+00:00,FXS/USDT:USDT,0.0
2026-07-23T11:42+00:00,POPMART/USDT:USDT,0.0
2026-07-23T11:42+00:00,1000WHY/USDT:USDT,0.0
2026-07-23T11:42+00:00,ASML/USDT:USDT,0.00011919
2026-07-23T11:42+00:00,TNSR/USDT:USDT,3.196e-05
2026-07-23T11:42+00:00,W/USDT:USDT,5e-05
2026-07-23T11:42+00:00,SOXL/USDT:USDT,0.0
2026-07-23T11:42+00:00,COMBO/USDT:USDT,0.0
2026-07-23T11:42+00:00,BOB/USDT:USDT,0.0
2026-07-23T11:42+00:00,CARV/USDT:USDT,5e-05
2026-07-23T11:42+00:00,LOOM/USDT:USDT,0.0
2026-07-23T11:42+00:00,SKHYNIX/USDT:USDT,-0.00042425
