ts,key,kalshi,poly_q,kalshi_parse,poly_parse,confidence,kalshi_bid,kalshi_ask,poly_bid,poly_ask,basis_sell_kalshi,basis_sell_poly,best_basis
2026-09-01T01:20:27+00:00,C|ETH|up|5000.0,KXETHMAXY-27JAN01-5000.00,"Will Ethereum reach $5,000 by December 31, 2026?",ETH|up|5000.0|2027-01-01,ETH|up|5000.0|2026-12-31,deadline_1d,0.04,0.05,0.054,0.073,-0.033,0.004,0.004
2026-09-01T01:20:27+00:00,C|ETH|up|4500.0,KXETHMAXY-27JAN01-4500.00,"Will Ethereum reach $4,500 by December 31, 2026?",ETH|up|4500.0|2027-01-01,ETH|up|4500.0|2026-12-31,deadline_1d,0.07,0.12,0.08,0.1,-0.03,-0.04,-0.03
2026-09-01T01:20:27+00:00,C|ETH|up|4000.0,KXETHMAXY-27JAN01-4000.00,"Will Ethereum reach $4,000 by December 31, 2026?",ETH|up|4000.0|2027-01-01,ETH|up|4000.0|2026-12-31,deadline_1d,0.18,0.19,0.14,0.15,0.03,-0.05,0.03
2026-09-01T01:20:27+00:00,C|ETH|up|3500.0,KXETHMAXY-27JAN01-3500.00,"Will Ethereum reach $3,500 by December 31, 2026?",ETH|up|3500.0|2027-01-01,ETH|up|3500.0|2026-12-31,deadline_1d,0.23,0.24,0.25,0.27,-0.04,0.01,0.01
2026-09-01T01:20:27+00:00,C|ETH|down|1500.0,KXETHMINY-27JAN01-1500,"Will Ethereum dip to $1,500 by December 31, 2026?",ETH|down|1500.0|2027-01-01,ETH|down|1500.0|2026-12-31,deadline_1d,0.21,0.22,0.141,0.143,0.067,-0.079,0.067
2026-09-01T01:20:27+00:00,C|ETH|down|1000.0,KXETHMINY-27JAN01-1000,"Will Ethereum dip to $1,000 by December 31, 2026?",ETH|down|1000.0|2027-01-01,ETH|down|1000.0|2026-12-31,deadline_1d,0.07,0.08,0.06,0.07,0.0,-0.02,0.0
2026-09-01T01:20:27+00:00,C|SOL|down|50.0,KXSOLMINY-SOL-26DEC31-5000,"Will Solana dip to $50 by December 31, 2026?",SOL|down|50.0|2026-12-31,SOL|down|50.0|2026-12-31,exact,0.02,0.22,0.12,0.13,-0.11,-0.1,-0.1
2026-09-01T01:20:27+00:00,C|SOL|down|70.0,KXSOLMINY-SOL-26DEC31-7000,"Will Solana dip to $70 by December 31, 2026?",SOL|down|70.0|2026-12-31,SOL|down|70.0|2026-12-31,exact,0.34,0.53,0.31,0.35,-0.01,-0.22,-0.01
2026-09-01T01:20:27+00:00,C|SOL|up|300.0,KXSOLMAXY-27JAN01-300,"Will Solana reach $300 by December 31, 2026?",SOL|up|300.0|2027-01-01,SOL|up|300.0|2026-12-31,deadline_1d,0.05,0.11,0.028,0.048,0.002,-0.082,0.002
2026-09-01T01:20:27+00:00,C|SOL|up|200.0,KXSOLMAXY-27JAN01-200,"Will Solana reach $200 by December 31, 2026?",SOL|up|200.0|2027-01-01,SOL|up|200.0|2026-12-31,deadline_1d,0.14,0.22,0.1,0.11,0.03,-0.12,0.03
2026-09-01T01:20:27+00:00,C|SOL|up|180.0,KXSOLMAXY-27JAN01-180,"Will Solana reach $180 by December 31, 2026?",SOL|up|180.0|2027-01-01,SOL|up|180.0|2026-12-31,deadline_1d,0.13,0.25,0.13,0.14,-0.01,-0.12,-0.01
2026-09-01T01:20:27+00:00,C|SOL|up|160.0,KXSOLMAXY-27JAN01-160,"Will Solana reach $160 by December 31, 2026?",SOL|up|160.0|2027-01-01,SOL|up|160.0|2026-12-31,deadline_1d,0.3,0.37,0.24,0.25,0.05,-0.13,0.05
