ts,wallet,title,outcome,size,curPrice,paper_stake
2026-07-23T18:07+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,Will FC Sion win on 2026-07-23?,Yes,1178.6557,0.645,50.0
2026-07-23T18:07+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,Will Valletta FC win on 2026-07-23?,No,681.0572,0.984,50.0
2026-07-23T18:07+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,Valorant: Eternal Fire vs Team Heretics (BO3) - VCT EMEA Gro,Team Heretics,662.9236,0.9995,50.0
2026-07-23T18:07+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,Will Ilves Tampere win on 2026-07-23?,No,1034.4385,0.615,50.0
2026-07-23T18:07+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,FK Vojvodina Novi Sad vs. AFC Ajax: O/U 3.5,Over,1142.1428,0.555,50.0
2026-07-23T18:07+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,Will FK Partizan Beograd win on 2026-07-23?,Yes,717.6048,0.875,50.0
2026-07-23T18:07+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,Will Zirə FK win on 2026-07-23?,No,603.4242,0.9995,50.0
2026-07-23T18:07+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,Will CS Cienciano win on 2026-07-25?,No,1006.8046,0.595,50.0
2026-07-23T18:07+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,DSV TGI Gold Leoben vs. ASK Voitsberg: O/U 4.5,Over,901.7265,0.645,50.0
2026-07-23T18:07+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,Spread: FC DAC 1904 Dunajská Streda (-1.5),FK Velež Mostar,842.1205,0.685,50.0
2026-07-23T18:07+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,Will Clube do Remo win on 2026-07-23?,Yes,4576.2307,0.125,50.0
2026-07-23T18:07+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,Qarabağ Ağdam FK vs. PFK CSKA Sofia: O/U 2.5,Under,527.0935,0.9995,50.0
2026-07-23T18:07+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,Will FK BATE Barysaŭ win on 2026-07-23?,No,540.0843,0.935,50.0
2026-07-23T18:07+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,Will NSÍ Runavík win on 2026-07-23?,Yes,1452.02,0.3449,50.0
2026-07-23T18:07+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,Will Shanghai Shenhua FC vs. Beijing Guoan FC end in a draw?,No,586.5714,0.825,50.0
2026-07-23T18:07+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,Bloomfield Hills: J.J. Wolf vs Coleman Wong,J.J. Wolf,1179.9302,0.405,50.0
2026-07-24T04:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,CS Herediano vs. Puntarenas FC: O/U 4.5,Under,26242.2308,0.9995,50.0
2026-07-24T04:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,CS Herediano vs. Puntarenas FC: O/U 2.5,Under,7988.1039,0.9995,50.0
2026-07-24T04:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,CS Herediano vs. Puntarenas FC: O/U 3.5,Under,7965.8913,0.9995,50.0
2026-07-24T04:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Will CA Boca Juniors vs. O'Higgins FC end in a draw?,No,6373.321,0.9995,50.0
2026-07-24T04:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Will CS Herediano win on 2026-07-23?,No,5879.4218,0.9995,50.0
2026-07-24T04:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,CA Boca Juniors vs. O'Higgins FC: O/U 3.5,Under,5843.9517,0.9995,50.0
2026-07-24T04:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Will CA Boca Juniors win on 2026-07-23?,Yes,5334.932,0.9995,50.0
2026-07-24T04:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Will Botafogo FC win on 2026-07-23?,Yes,4930.9073,0.9995,50.0
2026-07-24T04:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Will AA Argentinos Juniors win on 2026-07-23?,Yes,3849.4917,0.9995,50.0
2026-07-24T04:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Spread: CA Boca Juniors (-2.5),OHiggins FC,3442.5832,0.9995,50.0
2026-07-24T04:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Will Puntarenas FC win on 2026-07-23?,No,3404.3906,0.9995,50.0
2026-07-24T04:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,CA Boca Juniors vs. O'Higgins FC: O/U 2.5,Under,3023.0418,0.9995,50.0
2026-07-24T04:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,CA Boca Juniors vs. O'Higgins FC: O/U 1.5,Under,2961.2954,0.9995,50.0
2026-07-24T04:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Will CS Herediano vs. Puntarenas FC end in a draw?,Yes,2874.3914,0.9995,50.0
2026-07-24T04:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Will Independiente Santa Fe win on 2026-07-23?,Yes,2473.1117,0.9995,50.0
2026-07-24T04:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,CA Boca Juniors vs. O'Higgins FC: 1st Half O/U 1.5,Under,2399.7376,0.9995,50.0
2026-07-24T04:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Will AC Goianiense win on 2026-07-23?,Yes,2255.531,0.9995,50.0
2026-07-24T04:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,CA Boca Juniors vs. O'Higgins FC: O/U 4.5,Under,1694.4511,0.9995,50.0
2026-07-24T04:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Independiente Santa Fe vs. Caracas FC: 1st Half O/U 1.5,Under,1657.4266,0.9995,50.0
2026-07-24T04:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Spread: O'Higgins FC (-1.5),CA Boca Juniors,1508.117,0.9995,50.0
2026-07-24T04:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Will O'Higgins FC win on 2026-07-23?,No,1280.8867,0.9995,50.0
2026-07-24T04:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Will Botafogo FC vs. EC Juventude end in a draw?,No,1274.4594,0.9995,50.0
2026-07-24T04:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Atlanta Braves vs. Chicago White Sox: O/U 5.5,Over,1709.0,0.725,50.0
2026-07-24T04:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Spread: Cleveland Guardians (-1.5),Cleveland Guardians,2855.0606,0.425,50.0
2026-07-24T04:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Spread: Caracas FC (-2.5),Independiente Santa Fe,1153.2277,0.9995,50.0
2026-07-24T04:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Spread: O'Higgins FC (-2.5),CA Boca Juniors,1099.8878,0.9995,50.0
2026-07-24T04:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Independiente Santa Fe vs. Caracas FC: O/U 2.5,Under,987.7168,0.9995,50.0
2026-07-24T04:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Will Cuiabá EC vs. AC Goianiense end in a draw?,No,953.7104,0.9995,50.0
2026-07-24T04:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Exact Score: Chicago Fire FC 3 - 2 Vancouver Whitecaps FC?,No,1228.8322,0.754,50.0
2026-07-24T04:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Will EC Juventude win on 2026-07-23?,No,901.7765,0.9995,50.0
2026-07-24T04:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Independiente Santa Fe vs. Caracas FC: Both Teams to Score,No,899.8643,0.9995,50.0
2026-07-24T04:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,CS Herediano vs. Puntarenas FC: Draw at halftime?,Yes,883.2279,0.9995,50.0
2026-07-24T04:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,CS Herediano leading at halftime?,No,847.617,0.9995,50.0
2026-07-24T04:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Detroit Tigers vs. Cleveland Guardians: O/U 4.5,Over,970.0,0.836,50.0
2026-07-24T04:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Independiente Santa Fe vs. Caracas FC: O/U 1.5,Over,777.0274,0.9995,50.0
2026-07-24T04:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Spread: CA Boca Juniors (-1.5),OHiggins FC,741.6625,0.9995,50.0
2026-07-24T04:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Spread: Caracas FC (-1.5),Independiente Santa Fe,741.1998,0.9995,50.0
2026-07-24T04:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Exact Score: Chicago Fire FC 3 - 3 Vancouver Whitecaps FC?,No,961.581,0.75,50.0
2026-07-24T04:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,CS Herediano vs. Puntarenas FC: CS Herediano O/U 2.5,Under,679.7415,0.995,50.0
2026-07-24T04:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,CA Boca Juniors vs. O'Higgins FC: Both Teams to Score,No,632.3559,0.9995,50.0
2026-07-24T04:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,KBO: Hanwha Eagles vs. LG Twins,LG Twins,777.1246,0.7795,50.0
2026-07-24T04:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,CS Herediano vs. Puntarenas FC: O/U 1.5,Over,603.6616,0.9995,50.0
2026-07-24T04:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Vasteraas SK vs. Orgryte IS: Both Teams to Score,Yes,1015.9423,0.59,50.0
2026-07-24T04:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,CS Herediano vs. Puntarenas FC: CS Herediano O/U 1.5,Under,580.0254,0.9945,50.0
2026-07-24T04:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Will Cuiabá EC win on 2026-07-23?,No,573.7271,0.9995,50.0
2026-07-24T04:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Exact Score: Chicago Fire FC 0 - 0 Vancouver Whitecaps FC?,No,733.6003,0.7544,50.0
2026-07-24T04:07+00:00,0x2c335066fe58fe9237c3d3dc7b275c2a034a0563,Spread: Kansas City Royals (-1.5),Kansas City Royals,11266.51,0.0,50.0
2026-07-24T04:07+00:00,0x2c335066fe58fe9237c3d3dc7b275c2a034a0563,Exact Score: Netherlands 1 - 1 Morocco?,No,7534.56,0.0,50.0
2026-07-24T04:07+00:00,0x2c335066fe58fe9237c3d3dc7b275c2a034a0563,Hamburg European Open: Luciano Darderi vs Yannick Hanfmann,Yannick Hanfmann,530.8501,0.0,50.0
2026-07-24T04:07+00:00,0x2c335066fe58fe9237c3d3dc7b275c2a034a0563,"Swedish Open, Qualification: Martin Krumich vs Frederico Fer",Frederico Ferreira Silva,1204.5,0.0,50.0
2026-07-24T04:07+00:00,0x2c335066fe58fe9237c3d3dc7b275c2a034a0563,LoL: Team Secret Whales vs Top Esports - Game 3 Winner,Top Esports,14535.67,0.0,50.0
2026-07-24T04:07+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,Bloomfield Hills: Michael Zheng vs Adam Walton,Michael Zheng,2714.2525,0.515,50.0
